PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
276847653,22047618,6,2022-03-31T08:42:00,"1900 Block Murray Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1408,5,3,-79.9230679471987,40.4358796223012
276857084,22047668,0,2022-03-30T09:45:00,"2200 Block Shady Ave Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,2709.1 Stalking Conduct or Repeatedly Acts Including Follows,1408,5,3,-79.9187784031405,40.4333769397889
277304605,22050629,6,2022-04-05T10:10:00,"1100 Block Round Top St Pittsburgh, PA 15205",N,Crafton Heights,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2815,,,,
-3413183632,22043806,27,2022-03-24T14:51:00,"S 23rd St & Sidney St Pittsburgh, PA 15203",Y,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.9729454939022,40.4292456624039
276218398,22043851,18,2022-03-24T15:17:00,"Bingham St & S 6th St Pittsburgh, PA 15203",Y,South Side Flats,3,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1702,3,3,-79.9936346226734,40.4293585475718
276225668,22043681,10,2022-03-24T10:16:00,"1500 Block Alverado Ave Pittsburgh, PA 15216",Y,Beechview,6,HARRASSMENT,2709(a) Harassment.,1916,,,,
276227979,22043910,10,2022-03-24T17:21:00,"2400 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",1919,4,5,-80.0223422334561,40.4000430609667
276231792,22044015,99,2022-03-24T18:51:00,"40 Block S 9th St Pittsburgh, PA 15203",N,South Side Flats,3,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),1702,,,-79.9055298797069,40.4078659962369
276298460,22044338,5,2022-03-24T10:00:00,"7200 Block Mt Vernon St Pittsburgh, PA 15208",N,Homewood North,5,BURGLARY,3502 Burglary.,1302,9,2,-79.8944010830047,40.4611940783522
276307626,22044356,99,2022-03-25T11:45:00,"2300 Block Park Hill Dr Pittsburgh, PA 15221",Y,East Hills,5,AIDED CASE,9497 Aided Case,1306,9,2,-79.8740816622072,40.4547583578433
276329925,22044573,6,2022-03-25T17:04:00,"6000 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.9247104221077,40.4611889439979
276330049,22044505,99,2022-03-25T15:59:00,"900 Block Freeport Rd Pittsburgh, PA ",N,Lincoln-Lemington-Belmar,5,GANG RELATED INCIDENT,9010 Gang Related Incident,1201,9,2,-79.8923529450752,40.4861185015656
-2816177760,22044662,0,2022-03-25T20:00:00,"900 Block Marena St Pittsburgh, PA 15220",Y,Elliott,6,99,8106 Shots Fired,2020,2,5,-80.0364501426773,40.4451742692941
276184303,22043673,27,2022-03-24T10:00:00,"1700 Block E Saw Mill Way Pittsburgh, PA 15210",Y,Shadyside,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,,,,
276750695,22047011,27,2022-03-30T11:00:00,"1400 Block Forsythe St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2715,,,,
276234738,22044030,29,2022-03-24T20:59:00,"3400 Block Shadeland Ave Pittsburgh, PA 15212",N,Brighton Heights,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2703,1,1,-80.0333266992372,40.4773529472444
-3218173445,22044046,0,2022-03-24T21:24:00,"800 Block E Warrington Ave Pittsburgh, PA 15210",Y,Allentown,3,99,9093 Indirect Criminal Contempt,1803,3,5,-79.9937050598573,40.4218022561637
276237154,22044063,27,2022-03-24T14:45:00,"Washington Blvd & Allegheny River Blvd Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1106,7,2,-79.9078496292392,40.4842769808723
277671447,22052901,6,2022-04-09T05:01:00,"700 Block Montooth St Pittsburgh, PA 15210",N,Beltzhoover,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1809,,,,
-3417132872,22052927,27,2022-04-09T07:33:00,"2300 Block Arlington Ave Pittsburgh, PA 15210",N,South Side Slopes,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop. / 1785 Proof of Financial Responsibility Following Accident.,1608,3,3,-79.974442322233,40.4170953227887
277690018,22053037,0,2022-04-09T12:41:00,"Pa Rt 28 & 31st St Brg Pittsburgh, PA 15212",N,Troy Hill,1,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,2406,,,,
277693491,22053145,6,2022-04-09T17:48:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2902,4,3,-79.9865235535491,40.3931998334253
277693819,22051542,6,2022-04-06T20:35:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,201,6,6,-79.9960409452176,40.4350395659105
277696874,22053092,27,2022-04-09T17:15:00,"5700 Block Bunkerhill St Pittsburgh, PA 15206",N,Highland Park,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1102,7,2,-79.9194305636669,40.4792836714371
277208241,22050079,27,2022-04-04T09:00:00,"3100 Block Penn Ave Pittsburgh, PA 15201",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9710413070548,40.4597230532178
-3537071432,22042953,27,2022-03-23T04:55:00,"1600 Block Mc Bride Ave Pittsburgh, PA 15207",N,Lincoln Place,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3102,5,3,-79.9106006421572,40.369366567027
276135222,22039285,10,2022-03-17T05:34:00,"1600 Block E Cherryhill St Pittsburgh, PA 15210",Y,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault.,2902,,,,
276292943,22044337,10,2022-03-25T09:40:00,"4500 Block Butler St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,HARRASSMENT,2709(a) Harassment.,902,7,2,-79.9590062168043,40.472105410396
276296247,22044332,6,2022-03-25T08:30:00,"2800 Block Edwards Way Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,3,-79.9684366513581,40.4241062019523
278023519,22055394,9,2022-04-13T15:30:00,"5800 Block Holden St Pittsburgh, PA 15232",N,Shadyside,4,FORGERY,4101 Forgery. / 4106 Access Device Fraud / 3922 Theft by Deception.,705,,,,
276559756,22046048,99,2022-03-28T15:23:00,"50 Block 11th St Pittsburgh, PA 15222",Y,Strip District,2,AIDED CASE,9497 Aided Case,203,3,3,-79.9876755376991,40.428967496273
276643222,22046049,14,2022-03-29T10:02:00,"500 Block General Robinson St W Pittsburgh, PA 15212",N,North Shore,1,CRIM MISCHIEF,3304 Criminal Mischief.,2205,1,6,-80.0069557599542,40.4478011847948
-3262151701,22047597,0,2022-03-31T08:19:00,"2100 Block Noblestown Rd Pittsburgh, PA 15205",N,Westwood,6,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident):  scratches on vehicle,2811,2,5,-80.0535471500779,40.4314604040809
275723443,22040953,10,2022-03-19T19:40:00,"8100 Block Conemaugh St Pittsburgh, PA 15221",N,East Hills,5,SIMPLE ASSAULT,"2701(a)(3) Simple Assault - Attempts by Physical Menace  / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",1306,9,2,-79.8830391422868,40.4548277474709
275746253,22041476,26,2022-03-20T18:06:00,"Hamilton Ave & Hale St Pittsburgh, PA 15221",Y,Homewood South,5,RETALIATION FOR PAST OFF ACTION,4703 Operation of Vehicle without Official Certif. of Inspection / 1301 Registration and Certificate of Title Required. / 627.02(b)(i) Possessing a small amount of marijuana / 1501 Drivers Required to be Licensed.,1304,9,2,-79.8875401162107,40.4523582303425
275746493,22041448,99,2022-03-20T17:58:00,"6200 Block Carver St Pittsburgh, PA 15206",Y,Larimer,5,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1208,,,,
275770811,22041640,0,2022-03-21T02:37:00,"Saw Mill Run Blvd & Crane Ave Pittsburgh, PA 15226",Y,Mount Washington,3,99,3736 Reckless Driving / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked.,1914,4,5,-80.0145843460984,40.4170990738553
277585219,22052095,10,2022-04-07T20:00:00,"4th  Ave & Wood St Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 2709 Harassment (Non-Specific),201,6,6,-80.0013048725924,40.4393869897012
277585891,22052095,10,2022-04-07T20:00:00,"4th  Ave & Wood St Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT,2701 Simple Assault. / 2709 Harassment (Non-Specific),201,6,6,-80.0013048725924,40.4393869897012
277622633,22052370,14,2022-04-08T09:18:00,"3500 Block Campus St Pittsburgh, PA 15212",N,Brighton Heights,1,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",2708,1,1,-80.0291599854498,40.4796763582063
-3420172234,22052300,0,2022-04-08T07:10:00,"300 Block Denniston St Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): Suspicious Male,708,8,2,-79.9197174418071,40.4557726258408
-3263007348,22052912,99,2022-04-09T06:45:00,"6500 Block Winslow St Pittsburgh, PA 15206",Y,Larimer,5,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1204,9,2,-79.9101188849238,40.4628162775955
277443448,22051394,99,2022-04-06T16:30:00,"Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,,,-80.0024134834251,40.4345725552299
277722651,22053614,0,2022-04-10T13:18:00,"7000 Block Kelly St Pittsburgh, PA 15208",N,Homewood South,5,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): ,1303,9,2,-79.9018146354302,40.4566120579776
277723638,22053632,10,2022-04-10T14:23:00,"200 Block Hallock St Pittsburgh, PA 15211",Y,Duquesne Heights,3,SIMPLE ASSAULT,2701 Simple Assault.,1911,2,5,-80.0179967181303,40.4347860938041
275495378,22039394,26,2022-03-17T10:20:00,"200 Block Allen St Pittsburgh, PA 15210",Y,Allentown,3,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,1803,3,5,-79.9937067300477,40.4207940232138
276362572,22044795,5,2022-03-26T00:11:00,"500 Block Jacksonia St Pittsburgh, PA 15212",N,Central North Side,1,BURGLARY,3502 Burglary.,2503,6,1,-80.0123555307851,40.4575028364583
-3544002627,22044811,4,2022-03-26T02:00:00,"7700 Block Susquehanna St Pittsburgh, PA 15221",Y,Highland Park,5,AGG-ASSAULT,"2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2706 Terroristic Threats. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 607.03 Discharging Firearm or Airgun",1304,9,2,-79.8906376146183,40.4504513741394
-3266000705,22044833,6,2022-03-26T01:17:00,"200 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle,405,,,,
276374419,22044886,99,2022-03-26T04:35:00,"4600 Block Friendship Ave Pittsburgh, PA 15224",Y,Bloomfield,5,MENTAL 201/302,9498 302 (Mental),903,7,2,-79.9504277153552,40.4644145369533
276384287,22044420,6,2022-03-25T12:37:00,"2900 Block Mary St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,3,-79.9665213559532,40.4233767506602
-3521013786,22044932,6,2022-03-26T09:00:00,"200 Block Shiloh St Pittsburgh, PA 15211",Y,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1914,2,5,-80.0075755531971,40.4307271111596
276391062,22043022,26,2022-03-26T10:00:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,2,MEGANS LAW VIOLATION,4915 Failure to Comply with Megans Law,103,6,6,-79.9931846836602,40.4350718181921
276401520,22044995,6,2022-03-26T12:14:00,"1700 Block Fallowfield Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT FROM AUTO,3934 Theft from Vehicle,1920,4,5,-80.0236353397166,40.4086766379432
276433953,22045354,99,2022-03-27T03:15:00,"200 Block Elwyn Ave Pittsburgh, PA 15234",N,Overbrook,3,NON-VIOLENT DOMESTIC,9012 Non-Violent Domestic,3207,,,,
276434947,22045342,3,2022-03-27T02:46:00,"1600 Block Dellrose Ter Pittsburgh, PA 15210",Y,Carrick,3,ROBBERY,"3701 Robbery. / 2702 Aggravated Assault. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 2706 Terroristic Threats. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2705 Recklessly Endangering Another Person. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2901,4,3,-79.9897931574835,40.400018399935
276327372,22044026,0,2022-03-24T21:00:00,"800 Block N Atlantic Ave Pittsburgh, PA 15224",N,Garfield,5,99,9999 9999 - (Misc. Incident): ,1016,,,,
276329931,22044511,99,2022-03-25T15:27:00,"Allegheny Ctr Pittsburgh, PA 15212",N,Allegheny Center,1,AIDED CASE,9497 Aided Case,2204,1,1,-80.0182065181231,40.4493731524498
276330365,22044532,10,2022-03-25T16:01:00,"2100 Block Rhine St Pittsburgh, PA 15212",N,Spring Hill-City View,1,TERRORISTIC THREATS,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2706 Terroristic Threats.,2620,1,1,-79.9936135100542,40.466590276641
-3477284235,22044624,27,2022-03-25T19:00:00,"S 10th St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1702,3,3,-79.9885762778787,40.4287104703372
276358690,22044724,14,2022-03-25T21:50:00,"Rose St & Elmore St Pittsburgh, PA 15219",N,Middle Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,501,6,3,-79.976750385951,40.4439609659498
276358724,22044699,0,2022-03-25T20:52:00,"1200 Block Woodland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,8106 Shots Fired,2715,1,1,-80.0275103365149,40.4697396230738
276361053,22044703,0,2022-03-25T21:05:00,"Liberty Ave & 23rd St Pittsburgh, PA 15222",Y,Strip District,2,DUI - GENERAL IMPAIRMENT,3714 Careless Driving / 3802(a)(1) DUI - General Impairment,203,7,6,-79.9808001295111,40.4522804183076
276365823,22044862,29,2022-03-26T01:00:00,"1000 Block Brushton Ave Pittsburgh, PA 15221",N,Homewood North,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1301,9,2,-79.887729584877,40.4565467004881
276371229,22044804,27,2022-03-26T00:23:00,"2000 Block Fairlawn St Pittsburgh, PA 15221",N,East Hills,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1306,9,2,-79.870082490458,40.4503575260423
277711937,22053444,10,2022-04-10T04:06:00,"3800 Block hiawatha St Pittsburgh, PA 15212",Y,Brighton Heights,1,SIMPLE ASSAULT,2701 Simple Assault. / 3304 Criminal Mischief.,2701,1,1,-80.0444306737235,40.4826845405263
277717133,22053548,6,2022-04-10T10:00:00,"1200 Block Goe Ave Pittsburgh, PA 15212",N,Brighton Heights,1,THEFT FROM AUTO,3934 Theft from Vehicle,2708,1,1,-80.0329955555156,40.4852866109056
277719217,22053563,6,2022-04-09T23:00:00,"900 Block N Lang Ave Pittsburgh, PA 15208",N,Homewood North,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1302,9,2,-79.8985114222818,40.4579378790699
277719625,22053609,27,2022-04-10T02:16:00,"Eckert St & Beaver Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2704,,,,
-3477294927,22053584,27,2022-04-10T12:00:00,"Breed St & Enon Way Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9857610048712,40.4259998785474
-3606000014,22053619,14,2022-04-10T13:15:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Friendship,4,CRIM MISCHIEF,3304 Criminal Mischief.,807,8,2,-79.9364516460773,40.4565706706801
277722321,22053129,0,2022-04-09T16:35:00,"800 Block S Braddock Brg Pittsburgh, PA 15221",N,Regent Square,4,99,9999 9999 - (Misc. Incident): ,1410,5,3,-79.8966227117437,40.4366416436619
277726564,22053712,6,2022-04-10T15:23:00,"500 Block Courtland St Pittsburgh, PA 15207",N,Hazelwood,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1501,5,3,-79.9445436247918,40.4052162237737
275378264,22038613,99,2022-03-16T06:41:00,"400 Block Edgemont St Pittsburgh, PA 15211",N,Mount Washington,3,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,1807,3,5,-80.0005935867897,40.4222565926704
276124120,22043418,0,2022-03-23T21:08:00,"Ridge Ave & Allegheny Ave Pittsburgh, PA 15212",Y,Chateau,1,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 1301 Registration and Certificate of Title Required. / 3736 Reckless Driving,2108,1,1,-80.0183156621155,40.4496864519994
276316932,22040304,10,2022-03-18T18:20:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 5507 Obstructing Highways and Passages. / 4701 Bribery in Official and Political Matters. / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE,201,6,6,-79.9960409452176,40.4350395659105
276338646,22044563,0,2022-03-25T17:00:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,99,9993 PFA Service with Weapons Supplement,509,6,3,-79.9746251357847,40.4498408057687
276343575,22044627,10,2022-03-25T18:50:00,"3600 Block Allendale Cir Pittsburgh, PA 15204",Y,Sheraden,6,HARRASSMENT,2709(a) Harassment.,2022,2,5,-80.0645673443027,40.4592973310726
276389416,22044445,99,2022-03-25T13:30:00,"6300 Block Broad St Pittsburgh, PA 15206",Y,East Liberty,5,DRUG INVESTIGATION,9124 Drug Investigation / 4524 Windshield Obstructions and Wipers.,1115,,,,
276391012,22044920,99,2022-03-26T08:31:00,"800 Block Saw Mill Run Blvd Pittsburgh, PA 15226",Y,Bon Air,3,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,1806,,,,
-3533054032,22045050,6,2022-03-26T14:00:00,"2600 Block Josephine St Pittsburgh, PA 15203",Y,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,3,-79.9698746477706,40.4240010463284
275827578,22041886,26,2022-03-21T14:00:00,"300 Block Roberts St Pittsburgh, PA 15219",N,North Oakland,2,UNAUTHORIZED USE VEHICLE,3928 Unauthorized Use of Automobile and Other Vehicles.,404,6,3,-79.982152534885,40.4406789529257
275835165,22041915,27,2022-03-21T14:30:00,"200 Block E Carson St Pittsburgh, PA 15219",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1702,3,3,-79.9775107965358,40.4283181874135
275843174,22041918,6,2022-03-21T15:00:00,"2900 Block Banksville Rd Pittsburgh, PA 15216",N,Banksville,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,2023,2,5,-80.0415398313648,40.4030563546582
275853656,22041995,0,2022-03-21T17:10:00,"300 Block Sweetbriar St Pittsburgh, PA 15211",N,Duquesne Heights,3,99,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",1911,2,5,-80.0221206695261,40.4373202157607
275865995,22042069,6,2022-03-21T19:45:00,"200 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,6,6,-80.0020771081555,40.4412363988277
275884102,22042273,18,2022-03-22T02:46:00,"Anderson St & Lacock St Pittsburgh, PA 15212",Y,North Shore,1,STOLEN PROPERTY,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 3334 Turning Movements and Required Signals. / 1301 Registration and Certificate of Title Required. / 1543 Driving While Operating Privilege is Suspended or Revoked.,2205,1,6,-80.0009835408411,40.449682086318
275884485,22012036,18,2022-03-22T02:46:00,"Anderson St & Lacock St Pittsburgh, PA 15212",Y,East Allegheny,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 1543 Driving While Operating Privilege is Suspended or Revoked.,2304,1,6,-80.0009835408411,40.449682086318
-3616000095,22053734,27,2022-04-10T18:03:00,"200 Block Charles St Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3001,3,5,-79.9907456942582,40.4164630770812
277727221,22053721,0,2022-04-10T17:43:00,"200 Block Mc Kinley St Pittsburgh, PA 15210",N,Knoxville,3,99,"601.11(a) Littering and Dumping; Any waste, dangerous or detrimental substance upon public property",3001,3,5,-79.9911514567107,40.4087545800782
277739803,22053797,6,2022-04-10T20:53:00,"1400 Block Lincoln Ave Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise",1203,9,2,-79.8969435533647,40.4678663228378
277804467,22054119,0,2022-04-11T12:30:00,"3200 Block Parkview Ave Pittsburgh, PA 15213",N,South Oakland,4,99,9999 9999 - (Misc. Incident): Suicidal male,409,3,3,-79.9537459428429,40.4294684856027
277817705,22054197,27,2022-04-11T15:14:00,"5800 Block Centre Ave Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1115,8,2,-79.9314698462019,40.4576355164051
277827493,22054266,0,2022-04-11T18:22:00,"2500 Block Centre Ave Pittsburgh, OH 15219",N,Terrace Village,2,99,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident,510,6,3,-79.9705704510554,40.4455253818667
277837980,22054357,6,2022-04-11T21:01:00,"400 Block Sterling St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1608,,,,
277838396,22054351,99,2022-04-11T20:42:00,"1400 Block N Franklin St Pittsburgh, PA 15233",N,Manchester,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2107,6,1,-80.0269705596701,40.4558882030924
277851196,22051589,0,2022-04-07T00:18:00,"1000 Block Herron Ave Pittsburgh, PA 15219",N,Polish Hill,2,99,9999 9999 - (Misc. Incident): ,605,7,6,-79.9650254951652,40.4567426192448
276465544,22045634,10,2022-03-27T18:37:00,"3200 Block Motor St Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2018,2,5,-80.055303508178,40.4579801655745
276475395,22045683,99,2022-03-27T20:23:00,"Grant St & 7th Ave Pittsburgh, PA 15219",Y,Central Business District,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,201,6,6,-79.994961740797,40.44216497399
276477571,22045687,6,2022-03-27T20:26:00,"1000 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,3,-79.9908396644848,40.4385727798308
276496007,22043077,0,2022-03-23T11:00:00,"5700 Block Bartlett St Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): ,1413,5,3,-79.9249652912654,40.4356552881595
276551367,22046039,27,2022-03-28T02:15:00,"1600 Block Concordia St Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2902,,,,
276554138,22046044,14,2022-03-28T14:45:00,"900 Block Peralta St Pittsburgh, PA 15212",N,East Allegheny,1,CRIM MISCHIEF,3304 Criminal Mischief.,2304,1,1,-79.9947686192706,40.4558321998641
276559516,22046066,11,2022-03-28T00:01:00,"100 Block E Meyers St Pittsburgh, PA 15210",N,Carrick,3,CREDIT CARDS,4106 Access Device Fraud,2902,4,3,-79.9874074382382,40.3999694982231
276560939,22046073,99,2022-03-27T03:30:00,"100 Block Knox Ave Pittsburgh, PA 15210",N,Knoxville,3,LOST PROPERTY,9504 Lost Property,3001,3,5,-79.9905877515385,40.4155725063979
276564719,22046102,27,2022-03-28T17:30:00,"Brighton Rd & Marshall Ave Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2615,6,1,-80.0250163937269,40.4668950980366
276374543,22044881,21,2022-03-26T03:45:00,"Saw Mill Run Blvd Ramp & Saw Mill Run Blvd Pittsburgh, PA 15226",Y,Bon Air,3,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3802(a)(1) DUI - General Impairment,1806,,,,
276374716,22044893,99,2022-03-26T05:05:00,"1800 Block Ringwalt St Pittsburgh, PA 15216",N,Beechview,6,FOUND PROPERTY,9489 Found Property,1920,4,5,-80.0194868644652,40.4075476623773
276403989,22045031,99,2022-03-26T13:45:00,"200 Block 5th Ave Pittsburgh, PA 15222",Y,Central Business District,2,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,201,6,6,-80.0020771081555,40.4412363988277
276408402,22045094,6,2022-03-26T14:20:00,"Marquis Way & Freedmore St Pittsburgh, PA 15212",N,California-Kirkbride,1,THEFT FROM AUTO,3934 Theft from Vehicle,2507,6,1,-80.0178186343117,40.4576476363295
276409579,22045073,10,2022-03-26T15:41:00,"7200 Block Everton St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a) Harassment. / 3304 Criminal Mischief. / 901 Criminal Attempt,1202,9,2,-79.8926212916504,40.4629887350381
276416181,22045105,99,2022-03-26T16:30:00,"1400 Block Geyer Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2715,,,,
277728312,22053751,27,2022-04-09T11:00:00,"3000 Block Marshall Rd Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,1,1,-80.014950838723,40.4760673983119
